GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AuScope-Portal-API,org.auscope.portal.server.web.service.cloud,SshCloudConnector.ExecResult,58,0,0,0,16,0,8,0,8,0
AuScope-Portal-API,org.auscope.portal.server.web.service.cloud,SshInputStream,68,0,4,0,22,0,13,0,11,0
AuScope-Portal-API,org.auscope.portal.server.web.service.cloud,CloudComputeServiceNci,649,0,48,0,114,0,38,0,14,0
AuScope-Portal-API,org.auscope.portal.server.web.service.cloud,CloudStorageServiceNci,646,0,50,0,153,0,37,0,12,0
AuScope-Portal-API,org.auscope.portal.server.web.service.cloud,IdentityString,44,0,0,0,13,0,9,0,9,0
AuScope-Portal-API,org.auscope.portal.server.web.service.cloud,SshCloudConnector,426,0,30,0,96,0,23,0,8,0
AuScope-Portal-API,org.auscope.portal.server.web.service.monitor,KnownLayerStatusMonitor,26,17,0,0,5,7,1,3,1,3
AuScope-Portal-API,org.auscope.portal.server.web.service.monitor,VGLJobStatusChangeHandler,37,145,13,13,9,38,12,5,1,3
AuScope-Portal-API,org.auscope.portal.server.web.service.monitor,VGLJobStatusMonitor,18,93,1,3,3,25,1,7,0,6
AuScope-Portal-API,org.auscope.portal.server.web.security.github,GithubUserInfo,40,0,4,0,9,0,6,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.security.github,GithubOidcUserService,65,0,2,0,14,0,5,0,4,0
AuScope-Portal-API,org.auscope.portal.remanentanomalies,RemanentAnomaliesFilter,231,0,30,0,39,0,18,0,3,0
AuScope-Portal-API,org.auscope.portal.remanentanomalies,RemanentAnomaliesAutoSearchFilter,45,0,0,0,8,0,3,0,3,0
AuScope-Portal-API,org.auscope.portal.view.knownlayer,IRISSelector,63,0,8,0,14,0,8,0,4,0
AuScope-Portal-API,org.auscope.portal.gsml,BoreholeFilter,6,221,7,23,1,56,6,13,0,4
AuScope-Portal-API,org.auscope.portal.gsml,TIMAGeosampleFilter,82,0,12,0,14,0,9,0,3,0
AuScope-Portal-API,org.auscope.portal.gsml,BoreholeWithConfigurableFilter,102,0,10,0,21,0,9,0,4,0
AuScope-Portal-API,org.auscope.portal.gsml,SF0BoreholeFilter,159,197,30,16,24,50,22,8,2,5
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Solution.ProblemURIConverver,3,0,0,0,1,0,1,0,1,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Dependency.Type,27,0,0,0,5,0,1,0,1,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,SsscImage,45,0,2,0,13,0,10,0,9,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,ScmLoaderFactory,17,0,2,0,7,0,5,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Entry,201,0,28,0,59,0,34,0,20,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Dependency,3,0,0,0,1,0,1,0,1,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Toolbox,77,0,8,0,24,0,17,0,13,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Entries,24,0,0,0,10,0,7,0,7,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Solution,70,0,8,0,21,0,15,0,11,0
AuScope-Portal-API,org.auscope.portal.server.web.service.scm,Problem,34,0,4,0,11,0,7,0,5,0
AuScope-Portal-API,org.auscope.portal.server.web.security.google,GoogleOidcUserService,65,0,2,0,14,0,5,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.security.google,GoogleUserInfo,22,0,0,0,5,0,4,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,BookMarksController,168,0,0,0,44,0,8,0,8,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,ScriptBuilderController,564,228,51,11,110,44,36,6,6,4
AuScope-Portal-API,org.auscope.portal.server.web.controllers,UserController,431,0,44,0,111,0,30,0,8,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,RemanentAnomaliesAutoSearchController,44,0,0,0,15,0,3,0,3,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,PurchaseController,1211,357,64,10,219,82,44,6,8,4
AuScope-Portal-API,org.auscope.portal.server.web.controllers,GsmlpNameSpaceTable,90,0,4,0,25,0,6,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,SF0BoreholeController,641,0,34,0,129,0,23,0,6,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,ReprojectionController,0,270,2,36,0,46,2,22,0,5
AuScope-Portal-API,org.auscope.portal.server.web.controllers,JobListController,1581,1069,112,76,303,225,79,45,14,16
AuScope-Portal-API,org.auscope.portal.server.web.controllers,JobBuilderController,929,1618,69,113,156,369,65,60,8,25
AuScope-Portal-API,org.auscope.portal.server.web.controllers,GenericController,305,0,12,0,54,0,12,0,5,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,BaseCloudController,53,303,21,23,10,53,16,19,0,11
AuScope-Portal-API,org.auscope.portal.server.web.controllers,MineralTenementController,514,0,17,0,91,0,16,0,7,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,LegendImageController,46,0,0,0,10,0,2,0,2,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,JobDownloadController,208,477,17,21,33,102,17,13,2,9
AuScope-Portal-API,org.auscope.portal.server.web.controllers,RemanentAnomaliesController,130,0,5,0,26,0,7,0,3,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,GeologicalProvincesController,59,0,0,0,15,0,3,0,3,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,IRISController,190,256,3,5,28,49,5,7,3,5
AuScope-Portal-API,org.auscope.portal.server.web.controllers,MSCLController,345,0,32,0,72,0,20,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,TIMAController,179,0,10,0,38,0,9,0,4,0
AuScope-Portal-API,org.auscope.portal.server.web.controllers,VocabController,102,235,6,6,14,43,6,9,2,7
