Filename,SurveyID,MinLon,MaxLon,MinLat,MaxLat,CoordinateSystem,Theme,Datatype,Mb,URL,constantDataset,LABEL,DATE,CELLSIZE_DECDEGREES,LinespacingMetres,CoordsysData,Licence,CellsizeMetres
MRTASP478MAG..DIR,478,144.749371,145.767738,-42.462035,-41.327722,     GDA94, MAGNETICS,    VECTOR,18.588,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP478MAG..DIR,,MRTAS_West_Tasmania_magnetic_line_data,1981,Unknown,500,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",Unknown
MRTASP478MAG.isi,478,144.749371,145.767738,-42.462035,-41.327722,     GDA94, MAGNETICS,    VECTOR,18.588,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP478MAG..DIR,,MRTAS_West_Tasmania_magnetic_line_data,1981,Unknown,500,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",Unknown
MRTASP478tmig,478,144.599423,145.787152,-42.482595,-41.296396,     GDA94, MAGNETICS,      GRID,21.688,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP478tmig.ers,,MRTAS_West_Tasmania_tmi_grid_geodetic,1981,0.00051,500,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",50
MRTASP478tmig.ers,478,144.599423,145.787152,-42.482595,-41.296396,     GDA94, MAGNETICS,      GRID,21.688,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP478tmig.ers,,MRTAS_West_Tasmania_tmi_grid_geodetic,1981,0.00051,500,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",50
MRTASP478tmig.isi,478,144.599423,145.787152,-42.482595,-41.296396,     GDA94, MAGNETICS,      GRID,21.688,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP478tmig.ers,,MRTAS_West_Tasmania_tmi_grid_geodetic,1981,0.00051,500,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",50
P520_521_522demg,520,141.392809,143.509457,-13.056844,-11.581846,     GDA94, ELEVATION,      GRID,0.723,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P520_521_522demg.ers,,Cape_York_(P520_P521_P522)_elevation_grid,1986,0.004167,1500,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
P520_521_522demg.ers,520,141.392809,143.509457,-13.056844,-11.581846,     GDA94, ELEVATION,      GRID,0.723,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P520_521_522demg.ers,,Cape_York_(P520_P521_P522)_elevation_grid,1986,0.004167,1500,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
P520_521_522demg.isi,520,141.392809,143.509457,-13.056844,-11.581846,     GDA94, ELEVATION,      GRID,0.723,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P520_521_522demg.ers,,Cape_York_(P520_P521_P522)_elevation_grid,1986,0.004167,1500,AGD66,Creative Commons Attribution 3.0 Australia Licence,420
MRTASP559MAG..DIR,559,147.686002,148.050952,-41.661396,-41.240861,     GDA94, MAGNETICS,    VECTOR,7.03,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559MAG..DIR,,MRTAS_NE_Tasmania_magnetic_line_data,1989,Unknown,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",Unknown
MRTASP559MAG.isi,559,147.686002,148.050952,-41.661396,-41.240861,     GDA94, MAGNETICS,    VECTOR,7.03,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559MAG..DIR,,MRTAS_NE_Tasmania_magnetic_line_data,1989,Unknown,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",Unknown
MRTASP559potg,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559potg.ers,,MRTAS_NE_Tasmania_potassium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
MRTASP559potg.ers,559,147.669922,148.07692,-41.665208,-41.237202,     GDA94,RADIOMETRICS,      GRID,0.701,http://www.ga.gov.au/gadds/servlet/jetstreamDB/tas/MRTASP559potg.ers,,MRTAS_NE_Tasmania_potassium_grid_geodetic,1989,0.001,200,AGD66,"Mineral Resources Tasmania - Department of Infrastructure, Energy and Resources",100
