NAME,Surveyid,MINLON,MAXLON,MINLAT,MAXLAT,CS,THEME,DATATYPE,KSIZE,DODS_URL,LABEL,DATE,CELLSIZE,FLAVOUR,LINESPACING,CSDATA,LICENCENO,CELLSIZE_M
P109MAG..DIR,109,145.437051,148.702251,-34.021105,-31.9188,     GDA94, MAGNETICS,    VECTOR,12133,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P109MAG..DIR,Eyre_Peninsula_mag,1953,Unknown,Unknown,1600,AGD66,1,Unknown
P146MAG..DIR,146,137.865718,139.587399,-35.995488,-33.965322,     GDA94, MAGNETICS,    VECTOR,7276,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P146MAG..DIR,Adelaide_Barker_mag,1956,Unknown,Unknown,1600,AGD66,1,Unknown
P147_165_198_225MAG..DIR,147,112.906192,117.124258,-28.02152,-20.948248,     GDA94, MAGNETICS,    VECTOR,34708,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P147_165_198_225MAG..DIR,Carnarvon_Basin_mag,1956_1957_1959_1961,Unknown,Unknown,1600,AGD66,1,Unknown
P152MAG..DIR,152,145.947655,149.445442,-39.4827,-37.582943,     GDA94, MAGNETICS,    VECTOR,6256,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P152MAG..DIR,East_Gippsland_Offshore_mag,1956,Unknown,Unknown,1600,AGD66,1,Unknown
P153MAG..DIR,153,136.539625,138.128876,-36.045754,-35.577929,     GDA94, MAGNETICS,    VECTOR,1505,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P153MAG..DIR,Kangaroo_Island_mag,1956,Unknown,Unknown,1600,AGD66,1,Unknown
P161MAG..DIR,161,118.420122,120.103432,-32.030097,-30.973566,     GDA94, MAGNETICS,    VECTOR,3335,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P161MAG..DIR,Southern_Cross_mag,1956,Unknown,Unknown,1600,AGD66,1,Unknown
P166MAG..DIR,166,145.465465,147.033406,-32.044908,-30.976246,     GDA94, MAGNETICS,    VECTOR,5483,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P166MAG..DIR,Cobar_mag,1957,Unknown,Unknown,1600,AGD66,1,Unknown
P173MAG..DIR,173,139.679704,141.043598,-38.058652,-36.654007,     GDA94, MAGNETICS,    VECTOR,2646,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P173MAG..DIR,Naracoorte_Penola_mag,1957,Unknown,Unknown,1600,AGD66,1,Unknown
P176MAG..DIR,176,114.061459,116.410764,-34.508353,-28.990476,     GDA94, MAGNETICS,    VECTOR,15301,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P176MAG..DIR,Perth_Basin_mag,1957,Unknown,Unknown,1600,AGD66,1,Unknown
P179MAG..DIR,179,133.470402,135.563699,-30.998274,-30.005916,     GDA94, MAGNETICS,    VECTOR,4386,http://www.ga.gov.au/gadds/servlet/jetstreamDB/P179MAG..DIR,Tarcoola_mag,1957,Unknown,Unknown,1600,AGD66,1,Unknown
