SURVEYID,TITLE,ABSTRACT,MINLON,MAXLON,MINLAT,MAXLAT,KEYWORD1,KEYWORD2,DATE
194601,Frome Embayment Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,12/01/1946
194730,Frome-Broken Hill (Natural Gas) Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,1/01/1947
194905,Adelaide-Melbourne Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-36.33,-36.33,141.65167,141.65167,LAND,GRAV,1/01/1949
194906,"Western Districts, Mount Gambier, Hamilton, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-36.71333,-38.38833,142.38333,140.75333,LAND,GRAV,
195037,Grav Meter Australia,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195099,Cambridge Pendulum Isogals,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-12.42167,-38.56833,153.01833,113.66167,LAND,GRAV,4/01/1950
195103,"Melbourne-Albury-Wagga Wagga, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-35.19333,-37.69833,147.24833,144.21917,LAND,GRAV,11/01/1951
195231,"Melbourne-Macquarie Island-Kergulen Island Ties, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195311,Heard Island-Kerguelen Island Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,1/01/1953
195312,Macquarie Island Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,12/01/1953
195314,Mawson - Antarctica,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195401,"Great Barrier Reef, Adjacent Coast North Qld 1954 1958 1960",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-14.665,-17.67667,146.50333,145.25167,LAND,GRAV,7/01/1954
195409,Grav-Trans Australia Railway Magnetic,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-30.25,-32.25,134,115.8,LAND,GRAV MAG,8/01/1954
195430,"East, Central Australia Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195437,Australia Wide Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195540,Keep River Grav NT-WA Border,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195613,Bonaparte Gulf Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,7/01/1956
195640,Fill in Data from Maps,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-17.095,-18.95833,124.49,123.66833,LAND,GRAV,
195705,Georgina Basin Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-20.70667,-23.07667,140.51,137.975,LAND,GRAV,6/01/1957
195707,"Canning Basin-Alice Springs, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,6/01/1957
195710,"Davis, Antarctica Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,12/01/1957
195739,International Ties Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195831,Bonaparte Gulf Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195836,International Ties Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,
195903,"Melbourne-Forbes-Sydney-Canberra, Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-33.18,-38.66833,151.195,144.92017,LAND,GRAV,1/01/1959
195904,Canberra-Hay-Balranald Grav,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-34.40833,-36.13333,149.06333,143.53667,LAND,GRAV,9/01/1959
195923,International Grav Ties,Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,4/01/1959
195924," Willis, Ocean, Nauru Islands Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,,,,,LAND,GRAV,05/25/1959
195925,"Western Queensland, NT Grav",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,-14,-32,153,127.5,LAND,GRAV,05/15/1959
