fileIdentifier,language,character set,Hierarchy Level,Hierarchy Level Name,Metadata Point of Contact,Dataset URI,entryDate,title,alternateTitle,releaseDate,date type,citedResponsibleParty,abstract,Language,Character Set,Topic Category,surveyType,dataType,organisation name,party role,organisation name,party role,organisation name,party role,organisation name,party role,organisation name,party role,legislation,country,state,northBoundLatitude,southBoundLatitude,eastBoundLongitude,westBoundLongitude,Beginning Time,Ending Time,keyword,keyword,keyword,code,Access Constraints,Use Constraints,Security Constraints,supplementalInformation,userNote,surveyId
31289,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Frome Embayment Grav,G0460001,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Zinc Corporation Ltd,principalInvestigator,BMR,resourceProvider,,,,,,,,AUS,"NSW,SA",,,,,12/01/1946,06/30/1947,On,4W,Jeep,,license,license,unclassified,,,194601
31290,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Frome-Broken Hill (Natural Gas) Grav,G0470030,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Zinc Corporation Ltd,principalInvestigator,BMR,resourceProvider,BMR,processor,Zinc Corporation Ltd,,,,,AUS,"NSW,SA",,,,,1/01/1947,11/30/1947,On,,,,license,license,unclassified,,,194730
31292,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Adelaide-Melbourne Grav,G0490005,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,CSIR (CSIRO),principalInvestigator,BMR,resourceProvider,,,,,,,,AUS,"SA,VIC",-36.33,-36.33,141.65167,141.65167,1/01/1949,02/28/1949,On,,,EPSG:4202,license,license,unclassified,,,194905
31293,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Western Districts, Mount Gambier, Hamilton, Grav",G0490006,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,WA Weibenga,principalInvestigator,Dept Mines SA,resourceProvider,,,,,,,,AUS,"SA,VIC",-36.71333,-38.38833,142.38333,140.75333,,,On,,,,license,license,unclassified,,,194906
31294,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Grav Meter Australia,G0500037,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,Muckenfuss,principalInvestigator,Woods Hole Oceanographic Inst,resourceProvider,,,,,,,,AUS,All states,,,,,,,On,,,,license,license,unclassified,,,195037
31295,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Cambridge Pendulum Isogals,G0500099,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,BMR,principalInvestigator,BMR,resourceProvider,BMR,processor,,,,,,AUS,All states,-12.42167,-38.56833,153.01833,113.66167,4/01/1950,04/30/1951,On,,,EPSG:4202,license,license,unclassified,Nine Stations have a gravity datum IGSN71,,195099
31296,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Melbourne-Albury-Wagga Wagga, Grav",G0510003,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,AUS,"NSW,VIC",-35.19333,-37.69833,147.24833,144.21917,11/01/1951,11/30/1951,On,,,,license,license,unclassified,,,195103
31297,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,"Melbourne-Macquarie Island-Kergulen Island Ties, Grav",G0520031,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,Expeditions Polaires Francaises,resourceProvider,Expeditions Polaires Francaises,processor,,,,,,ATA,AAT,,,,,,,On,,,,license,license,unclassified,,,195231
31298,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Heard Island-Kerguelen Island Grav,G0530011,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,ATA,AAT,,,,,1/01/1953,5/01/1953,On,,,,license,license,unclassified,,,195311
31299,eng,utf8,dataset,dataset - airborne geophysical survey,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",,07/14/2003,Macquarie Island Grav,G0530012,6/07/2001,publication,"Richardson, Murray; Program Manager; Geoscience Australia; PO Box 378, Canberra, ACT, Australia, 2601; +61262499229; +61262496249; murray.richardson@ga.gov.au; PointOfContact",Survey conducted by the Commonwealth Government or State/Territory Geological Survey (or equivalent) collecting airborne geophysical data,eng,utf8,geoscientificInformation,LAND,GRAV,,,,,,,,,,,,ATA,AAT,,,,,12/01/1953,01/31/1954,On,,,,license,license,unclassified,,,195312
